,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
35107|DOT1L,0.948885043020158,Homo sapiens,DOT1L,cr,NCCIT,None,Embryo,0,DOT1L
49156|COIL,0.949133983558941,Homo sapiens,COIL,other,HeLa,Epithelium,Cervix,1,COIL
63992|ETS2,0.94915756717351,Homo sapiens,ETS2,tf,K562,Erythroblast,Bone Marrow,1,ETS2
49460|552-SKD,0.949252527007349,Homo sapiens,552-SKD,other,MCF-7,Epithelium,Breast,0,552-SKD
42852|HOXC13,0.94938963431714,Homo sapiens,HOXC13,tf,LoVo,None,Colon,0,HOXC13
64360|ZNF788,0.949645976686461,Homo sapiens,ZNF788,,HEK293,Epithelium,Embryonic Kidney,1,ZNF788
63455|GATAD2B,0.94971230510516,Homo sapiens,GATAD2B,,MCF-7,Epithelium,Breast,1,GATAD2B
38642|ZNF236,0.950240737304222,Homo sapiens,ZNF236,tf,LoVo,None,Colon,0,ZNF236
71485|UBTF,0.950250414313677,Homo sapiens,UBTF,tf,None,hESC,None,1,UBTF
38752|DMRT1,0.95040984341421,Homo sapiens,DMRT1,tf,LoVo,None,Colon,0,DMRT1
77179|ZNF10,0.950425750391769,Homo sapiens,ZNF10,tf,293T,None,None,1,ZNF10
38788|EMX1,0.95067106759009,Homo sapiens,EMX1,tf,LoVo,None,Colon,0,EMX1
77116|ZNF44,0.950811679759923,Homo sapiens,ZNF44,tf,293T,None,None,1,ZNF44
77147|ZNF283,0.951232619805468,Homo sapiens,ZNF283,other,293T,None,None,1,ZNF283
77156|ZNF235,0.951775305125661,Homo sapiens,ZNF235,tf,293T,None,None,1,ZNF235
77083|ZNF571,0.951927929496697,Homo sapiens,ZNF571,tf,293T,None,None,1,ZNF571
49953|KDM3A,0.952212813723617,Homo sapiens,KDM3A,cr,Jurkat,T Lymphocyte,Blood,1,KDM3A
42704|NR4A2,0.952749877203435,Homo sapiens,NR4A2,tf,LoVo,None,Colon,1,NR4A2
77145|ZNF285,0.952938353878076,Homo sapiens,ZNF285,other,293T,None,None,0,ZNF285
77082|ZNF573,0.952951834897168,Homo sapiens,ZNF573,tf,293T,None,None,1,ZNF573
77087|ZNF565,0.952960331467844,Homo sapiens,ZNF565,tf,293T,None,None,1,ZNF565
65070|ZNF175,0.952969792811514,Homo sapiens,ZNF175,,HEK293,Epithelium,Embryonic Kidney,1,ZNF175
42850|GRHL1,0.952993733622305,Homo sapiens,GRHL1,predicted transcription factor,LoVo,None,Colon,1,GRHL1
63316|SCRT2,0.953329725151984,Homo sapiens,SCRT2,,HEK293,Epithelium,Embryonic Kidney,1,SCRT2
63265|PTTG1,0.953502227180239,Homo sapiens,PTTG1,,K562,Erythroblast,Bone Marrow,1,PTTG1
64978|WT1,0.953832332184068,Homo sapiens,WT1,tf,HEK293,Epithelium,Embryonic Kidney,1,WT1
